Room_Type,Day_Type,Season,Guests,Extra_Guests,Base_Price
AC Deluxe Cottage,Weekday,Summer,2,1,5447
AC Executive Suite Room,Weekday,Monsoon,5,0,7380
AC Suite Room With Jacuzzi,Weekday,Festival,6,2,11486
AC Suite Room With Jacuzzi,Weekend,Normal,6,0,8001
AC Suite Room With Jacuzzi,Weekend,Normal,2,1,8531
AC Deluxe Cottage,Weekday,Normal,2,0,4440
AC Deluxe Cottage,Weekday,Festival,1,1,7196
AC Cottage,Weekday,Normal,2,2,3951
AC Executive Suite Room,Weekday,Festival,3,1,13070
AC Executive Rooms,Weekday,New Year,1,3,8859
AC Suite Room With Jacuzzi,Weekday,Festival,5,3,11761
AC Suite Room With Jacuzzi,Weekday,Normal,2,0,6603
AC Deluxe Cottage,Weekend,Festival,2,1,7126
AC Executive Suite Room,Weekday,Summer,5,0,12868
AC Executive Suite Room,Weekday,New Year,4,3,15605
AC Cottage,Weekday,Festival,2,0,5246
AC Deluxe Cottage,Weekday,New Year,1,2,9456
AC Executive Suite Room,Weekday,Festival,7,2,13559
AC Suite Room With Jacuzzi,Weekend,Normal,1,0,8014
AC Executive Suite Room,Weekday,Normal,1,3,7759
AC Executive Suite Room,Weekend,Festival,7,0,13655
AC Executive Rooms,Weekday,Monsoon,1,2,3840
AC Executive Rooms,Weekday,Summer,2,3,5300
AC Cottage,Weekend,Festival,1,0,5250
AC Cottage,Weekend,Normal,2,0,4658
AC Suite Room With Jacuzzi,Weekday,Normal,6,1,6718
AC Cottage,Weekday,Festival,2,2,5170
AC Executive Suite Room,Weekday,Monsoon,2,0,7343
AC Deluxe Cottage,Weekend,New Year,1,2,9229
AC Executive Rooms,Weekday,Festival,2,2,7028
AC Deluxe Cottage,Weekday,Monsoon,1,2,4195
AC Cottage,Weekday,Summer,1,0,4639
AC Cottage,Weekday,Normal,2,2,3696
AC Suite Room With Jacuzzi,Weekday,Normal,5,3,6229
AC Executive Suite Room,Weekday,Festival,6,2,13845
AC Cottage,Weekend,Normal,1,1,4614
AC Executive Rooms,Weekday,Festival,1,3,7443
AC Executive Suite Room,Weekend,Monsoon,2,3,7008
AC Executive Suite Room,Weekday,Monsoon,5,1,7475
AC Executive Suite Room,Weekend,Summer,4,1,12006
AC Deluxe Cottage,Weekday,Summer,2,0,5486
AC Executive Suite Room,Weekday,Festival,5,0,13210
AC Suite Room With Jacuzzi,Weekend,Normal,1,1,8918
AC Executive Rooms,Weekend,Monsoon,2,0,4097
AC Cottage,Weekday,Festival,1,0,5445
AC Suite Room With Jacuzzi,Weekday,Monsoon,3,2,6448
AC Deluxe Cottage,Weekend,Monsoon,2,2,3919
AC Cottage,Weekday,Summer,1,1,4254
AC Suite Room With Jacuzzi,Weekend,Festival,3,3,10247
AC Executive Rooms,Weekend,Summer,2,2,5237
AC Executive Suite Room,Weekday,Normal,3,2,7923
AC Executive Rooms,Weekday,Summer,2,1,5046
AC Suite Room With Jacuzzi,Weekend,Festival,5,0,11386
AC Executive Suite Room,Weekend,Summer,1,3,12875
AC Deluxe Cottage,Weekday,Normal,2,0,4411
AC Suite Room With Jacuzzi,Weekday,Normal,1,1,6133
AC Suite Room With Jacuzzi,Weekend,Monsoon,6,0,6096
AC Executive Rooms,Weekend,Normal,1,0,4601
AC Deluxe Cottage,Weekday,Normal,2,0,4021
AC Deluxe Cottage,Weekday,Summer,2,3,5254
AC Cottage,Weekend,Festival,1,2,5219
AC Suite Room With Jacuzzi,Weekend,Monsoon,4,1,5535
AC Executive Rooms,Weekday,Monsoon,2,3,4251
AC Executive Rooms,Weekend,Normal,1,2,4696
AC Suite Room With Jacuzzi,Weekend,Summer,6,1,9145
AC Executive Rooms,Weekday,Festival,2,3,7278
AC Deluxe Cottage,Weekend,New Year,2,3,8776
AC Suite Room With Jacuzzi,Weekday,Monsoon,5,1,5530
AC Executive Suite Room,Weekday,Festival,6,1,13997
AC Suite Room With Jacuzzi,Weekday,Summer,6,1,8772
AC Executive Rooms,Weekday,Summer,2,2,5478
AC Suite Room With Jacuzzi,Weekday,Summer,5,2,9325
AC Executive Suite Room,Weekday,Monsoon,3,1,7856
AC Deluxe Cottage,Weekend,Summer,2,0,5046
AC Cottage,Weekday,New Year,1,0,7039
AC Deluxe Cottage,Weekday,Monsoon,1,1,3974
AC Suite Room With Jacuzzi,Weekend,Normal,1,1,8600
AC Suite Room With Jacuzzi,Weekday,New Year,3,0,13765
AC Deluxe Cottage,Weekday,Monsoon,2,2,3869
AC Suite Room With Jacuzzi,Weekend,Festival,6,2,10356
AC Executive Rooms,Weekend,Summer,1,3,5157
AC Executive Suite Room,Weekday,Summer,1,3,12871
AC Executive Rooms,Weekday,Summer,2,1,5327
AC Executive Rooms,Weekday,Festival,1,2,7381
AC Cottage,Weekday,Monsoon,2,1,3290
AC Executive Suite Room,Weekend,Normal,5,1,11255
AC Cottage,Weekend,Monsoon,1,0,3249
AC Deluxe Cottage,Weekend,Festival,1,3,7252
AC Deluxe Cottage,Weekend,New Year,2,0,9348
AC Deluxe Cottage,Weekday,Summer,2,0,5409
AC Cottage,Weekend,Normal,2,2,4987
AC Cottage,Weekday,Monsoon,1,3,3364
AC Cottage,Weekday,Monsoon,2,0,3641
AC Suite Room With Jacuzzi,Weekend,Summer,1,0,8839
AC Suite Room With Jacuzzi,Weekday,Festival,6,2,11352
AC Executive Suite Room,Weekend,Summer,2,0,12402
AC Executive Rooms,Weekend,Summer,1,2,5001
AC Deluxe Cottage,Weekday,Monsoon,2,1,3849
AC Cottage,Weekday,Summer,2,0,4442
AC Cottage,Weekend,Festival,2,3,5916
AC Executive Suite Room,Weekday,New Year,7,1,15759
AC Deluxe Cottage,Weekend,Summer,2,0,5134
AC Deluxe Cottage,Weekend,Monsoon,1,2,4088
AC Cottage,Weekday,Normal,1,2,3913
AC Executive Rooms,Weekend,New Year,1,0,9360
AC Deluxe Cottage,Weekend,New Year,2,1,8987
AC Executive Suite Room,Weekday,Festival,1,1,13123
AC Deluxe Cottage,Weekday,Summer,1,1,5064
AC Cottage,Weekend,Normal,2,1,4921
AC Suite Room With Jacuzzi,Weekend,Monsoon,6,0,5589
AC Deluxe Cottage,Weekend,New Year,2,2,9032
AC Deluxe Cottage,Weekday,New Year,2,0,8924
AC Suite Room With Jacuzzi,Weekday,New Year,5,0,14894
AC Cottage,Weekday,Monsoon,2,3,3470
AC Deluxe Cottage,Weekend,New Year,2,0,8676
AC Executive Suite Room,Weekend,Summer,7,0,12405
AC Executive Suite Room,Weekday,Normal,8,2,7959
AC Executive Suite Room,Weekday,Monsoon,5,2,7287
AC Deluxe Cottage,Weekday,Summer,1,2,5498
AC Deluxe Cottage,Weekend,Monsoon,2,0,3896
AC Deluxe Cottage,Weekday,Festival,2,2,7420
AC Cottage,Weekday,Normal,2,3,3569
AC Executive Rooms,Weekday,Summer,1,1,5428
AC Cottage,Weekday,Normal,2,0,3970
AC Executive Suite Room,Weekday,Monsoon,6,3,7517
AC Deluxe Cottage,Weekday,Normal,1,2,4250
AC Executive Rooms,Weekend,Summer,2,2,5176
AC Suite Room With Jacuzzi,Weekend,Normal,3,0,8395
AC Cottage,Weekday,New Year,1,1,7162
AC Suite Room With Jacuzzi,Weekday,Monsoon,6,3,6025
AC Cottage,Weekday,Festival,1,1,5615
AC Cottage,Weekday,Monsoon,2,2,3633
AC Deluxe Cottage,Weekend,Festival,2,1,7238
AC Executive Suite Room,Weekend,New Year,2,0,16047
AC Executive Suite Room,Weekend,Monsoon,2,3,7065
AC Executive Suite Room,Weekend,Monsoon,5,2,7671
AC Executive Suite Room,Weekday,Summer,4,0,12824
AC Executive Rooms,Weekend,Monsoon,1,0,4135
AC Deluxe Cottage,Weekend,Monsoon,2,3,3998
AC Cottage,Weekday,Monsoon,1,3,3567
AC Executive Rooms,Weekend,Summer,1,2,5049
AC Deluxe Cottage,Weekday,Monsoon,1,2,4135
AC Cottage,Weekday,Monsoon,1,2,3630
AC Executive Suite Room,Weekend,Monsoon,5,3,7871
AC Cottage,Weekend,Normal,1,3,4955
AC Suite Room With Jacuzzi,Weekday,Festival,5,2,10846
AC Cottage,Weekday,Summer,1,2,4409
AC Executive Rooms,Weekend,Summer,2,1,5398
AC Cottage,Weekend,Monsoon,1,2,3259
AC Cottage,Weekend,Monsoon,1,1,3790
AC Suite Room With Jacuzzi,Weekend,Normal,2,3,8648
AC Deluxe Cottage,Weekend,Festival,2,3,7002
AC Cottage,Weekday,Monsoon,1,2,3743
AC Suite Room With Jacuzzi,Weekday,Normal,6,1,6231
AC Executive Suite Room,Weekend,Summer,2,3,12515
AC Executive Rooms,Weekend,Summer,1,0,5152
AC Executive Suite Room,Weekend,New Year,6,3,16818
AC Suite Room With Jacuzzi,Weekend,Festival,3,1,10337
AC Deluxe Cottage,Weekday,Summer,1,1,5108
AC Cottage,Weekday,Normal,2,0,3692
AC Executive Suite Room,Weekday,New Year,1,0,16338
AC Cottage,Weekday,Normal,2,3,3694
AC Cottage,Weekend,Festival,1,1,5711
AC Cottage,Weekend,Festival,1,2,5637
AC Executive Rooms,Weekday,Festival,1,0,7144
AC Cottage,Weekday,Festival,1,1,5796
AC Executive Suite Room,Weekday,Monsoon,7,2,7164
AC Cottage,Weekend,Summer,2,2,4320
AC Cottage,Weekday,Normal,1,3,3576
AC Cottage,Weekday,Normal,2,1,3733
AC Executive Suite Room,Weekend,Festival,1,0,13832
AC Suite Room With Jacuzzi,Weekday,Monsoon,3,2,5936
AC Cottage,Weekday,Normal,1,1,3839
AC Suite Room With Jacuzzi,Weekend,Monsoon,4,2,6399
AC Cottage,Weekend,Monsoon,1,0,3610
AC Deluxe Cottage,Weekend,Monsoon,2,3,4209
AC Deluxe Cottage,Weekday,Normal,1,0,4482
AC Suite Room With Jacuzzi,Weekday,Festival,5,3,11643
AC Executive Rooms,Weekend,Summer,2,2,5313
AC Cottage,Weekday,Festival,2,0,5908
AC Deluxe Cottage,Weekend,Normal,1,2,4835
AC Executive Suite Room,Weekday,New Year,4,2,16063
AC Executive Rooms,Weekday,Festival,1,3,7177
AC Deluxe Cottage,Weekday,New Year,1,0,9158
AC Suite Room With Jacuzzi,Weekend,Festival,2,0,11538
AC Deluxe Cottage,Weekend,Summer,2,2,5025
AC Executive Rooms,Weekday,New Year,2,3,9336
AC Suite Room With Jacuzzi,Weekday,Festival,4,3,10180
AC Deluxe Cottage,Weekend,Monsoon,1,3,4181
AC Cottage,Weekday,Festival,2,0,5570
AC Executive Rooms,Weekday,Normal,2,1,4335
AC Deluxe Cottage,Weekend,Monsoon,1,1,4232
AC Deluxe Cottage,Weekend,New Year,2,2,9233
AC Deluxe Cottage,Weekday,Normal,1,0,4174
AC Executive Suite Room,Weekend,New Year,6,0,15093
AC Suite Room With Jacuzzi,Weekend,Summer,6,3,8609
AC Executive Suite Room,Weekday,Summer,2,3,12220
AC Deluxe Cottage,Weekday,Monsoon,1,3,3823
AC Deluxe Cottage,Weekday,New Year,1,3,9358
AC Executive Rooms,Weekend,New Year,1,1,9248
AC Suite Room With Jacuzzi,Weekday,Festival,6,2,11032
AC Deluxe Cottage,Weekend,New Year,1,2,8907
AC Executive Suite Room,Weekend,Festival,3,1,13422
AC Executive Rooms,Weekend,New Year,2,1,8705
AC Suite Room With Jacuzzi,Weekend,Monsoon,6,1,6227
AC Suite Room With Jacuzzi,Weekend,Normal,3,3,8596
AC Executive Rooms,Weekend,New Year,2,3,9327
AC Cottage,Weekday,Normal,2,1,3527
AC Cottage,Weekday,Monsoon,1,2,3456
AC Suite Room With Jacuzzi,Weekday,Monsoon,2,0,5867
AC Deluxe Cottage,Weekday,New Year,1,3,8743
AC Executive Rooms,Weekend,Normal,2,3,4713
AC Executive Suite Room,Weekday,Normal,5,1,7817
AC Deluxe Cottage,Weekday,Monsoon,1,1,3950
AC Deluxe Cottage,Weekday,Normal,1,1,4376
AC Executive Rooms,Weekday,Festival,1,3,7142
AC Executive Rooms,Weekend,Summer,1,2,5002
AC Executive Suite Room,Weekend,Summer,1,1,12950
AC Executive Suite Room,Weekday,New Year,5,3,16617
AC Executive Rooms,Weekend,Normal,2,1,4989
AC Suite Room With Jacuzzi,Weekday,New Year,2,3,14112
AC Executive Rooms,Weekend,Normal,2,1,4952
AC Suite Room With Jacuzzi,Weekend,Monsoon,3,2,5723
AC Executive Rooms,Weekend,New Year,1,0,9184
AC Executive Suite Room,Weekend,Summer,4,0,12698
AC Executive Suite Room,Weekend,Normal,7,2,11553
AC Executive Suite Room,Weekday,New Year,6,3,15996
AC Cottage,Weekend,Summer,2,0,4685
AC Cottage,Weekday,New Year,1,0,6715
AC Suite Room With Jacuzzi,Weekend,Normal,2,3,8662
AC Cottage,Weekday,Normal,2,2,3519
AC Cottage,Weekday,Normal,1,2,3785
AC Cottage,Weekday,Monsoon,2,3,3661
AC Deluxe Cottage,Weekend,Monsoon,1,3,4144
AC Cottage,Weekday,New Year,1,0,7217
AC Cottage,Weekend,New Year,1,2,7305
AC Executive Suite Room,Weekday,Monsoon,8,3,7404
AC Cottage,Weekend,Summer,1,1,4582
AC Deluxe Cottage,Weekend,Summer,2,2,5490
AC Cottage,Weekday,Normal,1,0,3793
AC Executive Rooms,Weekend,New Year,1,2,8715
AC Executive Suite Room,Weekday,Festival,3,1,13188
AC Suite Room With Jacuzzi,Weekend,Summer,1,1,9187
AC Executive Rooms,Weekday,New Year,2,0,8797
AC Cottage,Weekend,Normal,1,3,4987
AC Executive Suite Room,Weekend,Summer,4,0,12291
AC Executive Rooms,Weekday,Summer,2,3,5230
AC Executive Suite Room,Weekend,New Year,3,2,16654
AC Executive Suite Room,Weekend,Summer,1,2,12252
AC Suite Room With Jacuzzi,Weekend,Monsoon,3,1,6195
AC Executive Suite Room,Weekend,Festival,8,2,13793
AC Executive Suite Room,Weekend,New Year,2,1,16322
AC Executive Rooms,Weekday,Monsoon,1,1,3934
AC Cottage,Weekday,Normal,1,3,3893
AC Executive Rooms,Weekday,Normal,2,3,4334
AC Suite Room With Jacuzzi,Weekend,Festival,2,2,10274
AC Deluxe Cottage,Weekday,Festival,2,0,7339
AC Suite Room With Jacuzzi,Weekday,New Year,2,3,13326
AC Suite Room With Jacuzzi,Weekday,Festival,3,0,10448
AC Deluxe Cottage,Weekday,Normal,2,2,4119
AC Cottage,Weekday,New Year,2,3,6980
AC Deluxe Cottage,Weekday,Normal,2,0,4360
AC Executive Rooms,Weekend,Monsoon,1,3,4134
AC Deluxe Cottage,Weekend,New Year,1,2,8885
AC Suite Room With Jacuzzi,Weekend,Monsoon,3,3,6311
AC Deluxe Cottage,Weekday,New Year,1,3,8669
AC Suite Room With Jacuzzi,Weekday,New Year,6,2,13433
AC Suite Room With Jacuzzi,Weekday,Summer,3,0,9176
AC Suite Room With Jacuzzi,Weekend,Monsoon,6,0,5993
AC Deluxe Cottage,Weekend,Summer,1,3,5011
AC Suite Room With Jacuzzi,Weekday,Summer,5,1,8637
AC Executive Rooms,Weekday,New Year,1,0,8670
AC Executive Suite Room,Weekday,New Year,7,0,16799
AC Executive Suite Room,Weekday,Summer,8,3,12888
AC Deluxe Cottage,Weekday,Summer,2,1,5406
AC Executive Rooms,Weekday,New Year,2,1,9241
AC Executive Suite Room,Weekend,New Year,2,1,15774
AC Deluxe Cottage,Weekday,Normal,1,1,4267
AC Executive Rooms,Weekend,Summer,1,1,5243
AC Executive Rooms,Weekday,New Year,1,0,8993
AC Suite Room With Jacuzzi,Weekday,Festival,5,3,10758
AC Cottage,Weekend,Summer,2,3,4379
AC Executive Rooms,Weekday,Festival,1,2,7244
AC Suite Room With Jacuzzi,Weekday,Monsoon,5,3,5763
AC Suite Room With Jacuzzi,Weekday,Normal,5,0,6532
AC Cottage,Weekend,Summer,2,3,4385
AC Cottage,Weekday,Festival,2,2,5875
AC Executive Rooms,Weekend,New Year,2,2,9196
AC Deluxe Cottage,Weekday,Festival,2,1,7189
AC Executive Rooms,Weekend,Monsoon,2,2,4196
AC Deluxe Cottage,Weekday,Normal,1,3,4400
AC Suite Room With Jacuzzi,Weekday,Summer,5,3,9304
AC Executive Suite Room,Weekday,Summer,7,0,12823
AC Cottage,Weekday,Festival,2,0,5065
AC Executive Suite Room,Weekday,Monsoon,2,0,7741
AC Deluxe Cottage,Weekend,New Year,2,0,9468
AC Suite Room With Jacuzzi,Weekend,Festival,1,1,11741
AC Executive Rooms,Weekend,Summer,1,1,5314
AC Suite Room With Jacuzzi,Weekday,Monsoon,2,0,6499
AC Suite Room With Jacuzzi,Weekday,Monsoon,4,2,6185
AC Deluxe Cottage,Weekend,New Year,1,0,9254
AC Cottage,Weekday,New Year,2,2,6855
AC Executive Suite Room,Weekday,New Year,4,3,16904
AC Deluxe Cottage,Weekday,Monsoon,1,3,4059
AC Cottage,Weekday,New Year,2,2,7469
AC Cottage,Weekend,New Year,2,3,7489
AC Deluxe Cottage,Weekend,Summer,2,3,5348
AC Deluxe Cottage,Weekday,Festival,1,2,7034
AC Deluxe Cottage,Weekday,Summer,2,3,5489
AC Executive Suite Room,Weekday,Monsoon,4,2,7095
AC Deluxe Cottage,Weekend,Normal,1,3,4660
AC Executive Suite Room,Weekday,New Year,5,1,16939
AC Suite Room With Jacuzzi,Weekend,Summer,2,1,9393
AC Executive Suite Room,Weekday,Summer,4,1,12856
AC Executive Rooms,Weekend,Summer,1,0,5471
AC Cottage,Weekend,New Year,1,0,7368
AC Deluxe Cottage,Weekend,New Year,2,3,9419
AC Executive Rooms,Weekend,Festival,1,2,7203
AC Suite Room With Jacuzzi,Weekday,Normal,5,3,6489
AC Executive Rooms,Weekday,New Year,2,3,9381
AC Suite Room With Jacuzzi,Weekend,Normal,6,3,8323
AC Cottage,Weekday,Summer,2,0,4366
AC Executive Suite Room,Weekend,Summer,5,1,12275
AC Deluxe Cottage,Weekend,Monsoon,1,3,4017
AC Suite Room With Jacuzzi,Weekend,Monsoon,3,3,5786
AC Deluxe Cottage,Weekday,New Year,1,1,9333
AC Cottage,Weekend,Summer,2,3,4300
AC Suite Room With Jacuzzi,Weekday,Festival,1,1,10863
AC Deluxe Cottage,Weekday,New Year,2,3,8807
AC Executive Suite Room,Weekday,Festival,2,1,13061
AC Suite Room With Jacuzzi,Weekend,Festival,6,0,10921
AC Executive Suite Room,Weekend,Monsoon,6,2,7352
AC Cottage,Weekend,Normal,2,1,4795
AC Executive Rooms,Weekday,Monsoon,2,2,4144
AC Executive Rooms,Weekend,Festival,1,3,7314
AC Executive Suite Room,Weekend,Summer,3,2,12431
AC Executive Rooms,Weekend,Normal,1,1,4675
AC Suite Room With Jacuzzi,Weekend,Monsoon,6,2,6227
AC Executive Suite Room,Weekend,Monsoon,8,2,7765
AC Executive Rooms,Weekend,Festival,1,1,7437
AC Cottage,Weekday,Summer,2,0,4307
AC Suite Room With Jacuzzi,Weekend,Normal,1,0,8959
AC Deluxe Cottage,Weekday,Normal,2,0,4053
AC Executive Suite Room,Weekday,Normal,7,2,7617
AC Suite Room With Jacuzzi,Weekend,Festival,6,1,10268
AC Executive Rooms,Weekday,Normal,1,2,4440
AC Executive Suite Room,Weekend,Festival,5,3,13138
AC Executive Rooms,Weekday,New Year,2,3,9036
AC Cottage,Weekend,Monsoon,2,3,3466
AC Suite Room With Jacuzzi,Weekend,Normal,1,1,8352
AC Executive Suite Room,Weekend,New Year,1,3,16939
AC Deluxe Cottage,Weekend,Normal,2,2,4805
AC Suite Room With Jacuzzi,Weekday,New Year,3,1,13843
AC Executive Rooms,Weekend,Festival,1,1,7366
AC Deluxe Cottage,Weekend,Summer,2,0,5216
AC Suite Room With Jacuzzi,Weekend,Monsoon,6,2,5922
AC Suite Room With Jacuzzi,Weekday,Summer,2,2,8613
AC Deluxe Cottage,Weekend,Monsoon,2,1,3964
AC Cottage,Weekday,Normal,1,1,3997
AC Cottage,Weekend,Monsoon,1,3,3208
AC Suite Room With Jacuzzi,Weekday,Summer,1,3,8722
AC Executive Suite Room,Weekend,Monsoon,8,2,7474
AC Cottage,Weekend,Normal,1,0,4636
AC Deluxe Cottage,Weekday,New Year,2,1,8696
AC Executive Suite Room,Weekend,Normal,2,1,11394
AC Deluxe Cottage,Weekday,Normal,1,3,4376
AC Cottage,Weekday,Festival,2,2,5958
AC Executive Suite Room,Weekday,Normal,2,2,7746
AC Executive Suite Room,Weekday,Monsoon,1,1,7996
AC Cottage,Weekday,Festival,2,0,5171
AC Executive Suite Room,Weekday,Festival,4,0,13992
AC Cottage,Weekend,New Year,1,2,7289
AC Cottage,Weekday,Summer,2,0,4551
AC Executive Rooms,Weekend,Normal,1,2,4830
AC Suite Room With Jacuzzi,Weekday,Summer,4,1,8824
AC Executive Rooms,Weekend,Festival,1,0,7352
AC Deluxe Cottage,Weekend,Summer,2,0,5248
AC Deluxe Cottage,Weekend,New Year,2,1,9080
AC Suite Room With Jacuzzi,Weekend,Monsoon,6,3,5781
AC Executive Rooms,Weekday,Normal,1,3,4151
AC Executive Suite Room,Weekend,Festival,1,3,13751
AC Suite Room With Jacuzzi,Weekday,New Year,3,1,13656
AC Cottage,Weekend,Summer,2,1,4513
AC Executive Suite Room,Weekend,Festival,6,0,13098
AC Executive Rooms,Weekday,Normal,1,1,4447
AC Cottage,Weekday,Normal,2,1,3550
AC Cottage,Weekend,Festival,2,0,5375
AC Suite Room With Jacuzzi,Weekday,Normal,2,3,6950
AC Cottage,Weekend,Normal,2,3,4920
AC Executive Suite Room,Weekday,New Year,5,0,16503
AC Cottage,Weekend,Normal,1,0,4551
AC Suite Room With Jacuzzi,Weekend,Summer,2,1,9083
AC Suite Room With Jacuzzi,Weekend,Normal,6,2,8690
AC Deluxe Cottage,Weekend,Normal,1,1,4781
AC Deluxe Cottage,Weekend,Summer,2,2,5462
AC Executive Suite Room,Weekend,Monsoon,7,3,7845
AC Executive Suite Room,Weekday,New Year,4,3,16568
AC Executive Rooms,Weekend,Monsoon,2,3,4291
AC Deluxe Cottage,Weekday,Normal,2,0,4265
AC Suite Room With Jacuzzi,Weekend,Normal,3,1,8219
AC Executive Suite Room,Weekday,Monsoon,3,0,7038
AC Deluxe Cottage,Weekend,Summer,1,2,5187
AC Executive Rooms,Weekday,Summer,2,2,5047
AC Executive Rooms,Weekend,New Year,1,0,9240
AC Executive Suite Room,Weekend,Summer,8,0,12609
AC Executive Suite Room,Weekday,New Year,7,0,16597
AC Cottage,Weekend,Monsoon,2,3,3323
AC Suite Room With Jacuzzi,Weekday,Festival,1,2,11073
AC Cottage,Weekend,New Year,1,2,7014
AC Suite Room With Jacuzzi,Weekday,Normal,6,3,6994
AC Deluxe Cottage,Weekday,Summer,2,2,5402
AC Deluxe Cottage,Weekday,Summer,2,0,5243
AC Executive Rooms,Weekday,New Year,2,2,8587
AC Deluxe Cottage,Weekend,Summer,1,3,5286
AC Suite Room With Jacuzzi,Weekend,Festival,6,1,11149
AC Executive Rooms,Weekday,Summer,1,2,5397
AC Deluxe Cottage,Weekend,New Year,1,0,9187
AC Executive Suite Room,Weekday,Monsoon,3,2,7631
AC Deluxe Cottage,Weekday,Festival,1,1,7102
AC Executive Suite Room,Weekday,Normal,2,0,7624
AC Executive Rooms,Weekday,Monsoon,1,2,4155
AC Cottage,Weekend,Festival,2,0,5339
AC Suite Room With Jacuzzi,Weekday,Summer,5,2,9061
AC Deluxe Cottage,Weekday,Normal,2,0,4130
AC Suite Room With Jacuzzi,Weekday,Monsoon,2,2,5554
AC Deluxe Cottage,Weekday,Normal,2,2,4339
AC Executive Suite Room,Weekday,Normal,5,3,7618
AC Deluxe Cottage,Weekday,Monsoon,2,0,3895
AC Suite Room With Jacuzzi,Weekend,New Year,6,0,13081
AC Suite Room With Jacuzzi,Weekend,Monsoon,4,3,6262
AC Suite Room With Jacuzzi,Weekday,Monsoon,6,2,5863
AC Executive Suite Room,Weekday,New Year,5,0,16281
AC Executive Suite Room,Weekend,Normal,5,1,11155
AC Executive Suite Room,Weekend,Summer,2,3,12533
AC Executive Rooms,Weekday,Festival,1,1,7218
AC Executive Suite Room,Weekend,Festival,3,1,13668
AC Suite Room With Jacuzzi,Weekday,Summer,3,1,8940
AC Suite Room With Jacuzzi,Weekday,Monsoon,1,0,5688
AC Executive Suite Room,Weekday,Normal,6,3,7992
AC Deluxe Cottage,Weekend,Festival,2,1,7398
AC Suite Room With Jacuzzi,Weekday,Summer,2,0,9280
AC Executive Rooms,Weekend,New Year,1,1,8736
AC Cottage,Weekend,Normal,2,1,4757
AC Executive Rooms,Weekend,Monsoon,1,3,4051
AC Deluxe Cottage,Weekday,Summer,1,1,5016
AC Deluxe Cottage,Weekday,Monsoon,2,1,4180
AC Suite Room With Jacuzzi,Weekday,Normal,2,3,6887
AC Executive Rooms,Weekend,Monsoon,2,1,4018
AC Deluxe Cottage,Weekday,New Year,2,2,8903
AC Executive Rooms,Weekday,New Year,1,3,8967
AC Cottage,Weekday,New Year,2,0,7071
AC Deluxe Cottage,Weekday,Summer,2,3,5203
AC Executive Suite Room,Weekend,Festival,3,3,13301
AC Executive Rooms,Weekday,New Year,1,3,9349
AC Deluxe Cottage,Weekday,New Year,1,1,9297
AC Executive Rooms,Weekday,Festival,2,2,7230
AC Cottage,Weekday,Festival,1,3,5092
AC Executive Suite Room,Weekend,Summer,2,0,12116
AC Deluxe Cottage,Weekend,Normal,2,1,4693
AC Executive Rooms,Weekend,Normal,1,2,4789
AC Suite Room With Jacuzzi,Weekday,Summer,2,0,8929
AC Executive Suite Room,Weekend,Festival,5,1,13120
AC Suite Room With Jacuzzi,Weekday,Normal,5,2,6012
AC Deluxe Cottage,Weekend,Festival,1,3,7121
AC Suite Room With Jacuzzi,Weekend,Festival,4,3,10162
AC Executive Rooms,Weekday,Summer,2,1,5025
AC Suite Room With Jacuzzi,Weekday,Normal,6,2,6037
AC Suite Room With Jacuzzi,Weekday,New Year,5,2,13678
AC Cottage,Weekday,Normal,2,1,3582
AC Executive Suite Room,Weekday,Festival,6,0,13095
AC Executive Suite Room,Weekend,Monsoon,7,0,7776
AC Deluxe Cottage,Weekday,Monsoon,2,1,3862
AC Executive Suite Room,Weekend,New Year,7,1,16425
AC Suite Room With Jacuzzi,Weekday,Normal,5,0,6495
AC Executive Rooms,Weekend,Festival,2,2,7269
AC Executive Rooms,Weekend,Summer,2,3,5252
AC Suite Room With Jacuzzi,Weekday,Monsoon,2,0,5621
AC Cottage,Weekend,Normal,1,3,4711
AC Cottage,Weekend,Monsoon,1,0,3406
AC Executive Suite Room,Weekend,Normal,5,2,11518
AC Executive Rooms,Weekend,Normal,1,2,4674
AC Deluxe Cottage,Weekday,Summer,1,2,5426
AC Executive Suite Room,Weekend,Festival,1,1,13493
AC Suite Room With Jacuzzi,Weekend,New Year,3,3,14605
AC Deluxe Cottage,Weekday,New Year,2,2,9068
AC Executive Rooms,Weekday,Summer,2,2,5033
AC Suite Room With Jacuzzi,Weekend,Normal,3,3,8641
AC Executive Rooms,Weekday,New Year,2,1,9109
AC Cottage,Weekend,Monsoon,1,2,3623
AC Cottage,Weekend,Summer,2,3,4624
AC Executive Suite Room,Weekday,New Year,5,1,15229
AC Executive Suite Room,Weekday,Summer,2,3,12518
AC Cottage,Weekend,New Year,1,1,6848
